334 28550: 46: =G11.0,                  28550: 0: =G11.0,
335 28580: 0: =L36,                     28580: 0: =L36,
336 28580: 6: =S0.0,                    28580: 5: =S0.0,
337 28591: 176: =F122,                  28591: 0: =F122,		//could be later
338 28650: 0: =L37,                     28650: 0: =L37,
339 28650: 6: =S0.0,                    28650: 5: =S0.0,
340 28661: 0: =F119,                    28661: 0: =F119,		//could be later
341 29012: 0: =917,                     29012: 0: =917,
342 29100: 0: =917,                     29100: 0: =917,
343 29140: 0: =960,                     29140: 0: =960,
344 29220: 0: =917,                     29220: 0: =917,
345 29220: 5: =924,                     29220: 5: =924,
346 29505: 0: =954,                     29505: 0: =954,
347 29653: 0: =900,                     29653: 0: =900,
348 29665: 0: =900,                     29665: 0: =900,
349 31605: 0: =941,                     31605: 0: =941,
350 31615: 0: =937,                     31615: 0: =937,
